Cell.01	Cell.02	Cell.03	Cell.04	Cell.05	Cell.06	Cell.07	Cell.08	Cell.09	Cell.10	Cell.11	Cell.12	Cell.13	Cell.14	Cell.15	Cell.16	Cell.17	Cell.18	Cell.19	Cell.20
GeneID2665	5	7	4	4	3	7	7	8	9	3	3	6	4	2	6	3	6	4	4	6
GeneID2666	4	3	4	3	3	7	8	0	5	0	8	13	2	4	4	3	6	5	4	3
GeneID2667	2	4	6	10	5	3	2	4	6	5	5	4	2	2	6	7	4	7	5	4
GeneID2668	7	5	6	5	5	10	5	5	6	7	5	0	3	7	15	7	5	6	4	2
GeneID2669	6	4	1	8	4	7	6	4	4	6	7	5	3	1	6	8	6	6	6	6
GeneID2670	3	6	7	5	5	2	5	6	3	3	5	6	5	9	5	7	5	5	7	3
GeneID2671	4	2	7	2	4	7	3	4	4	6	5	5	4	9	1	6	7	5	3	4
GeneID2672	4	3	6	1	5	6	5	2	7	10	6	9	5	4	4	4	1	6	4	8
GeneID2673	7	5	4	4	11	8	3	5	3	3	3	4	5	6	1	2	8	7	2	3
GeneID2674	2	6	4	7	4	7	8	5	5	1	5	14	4	6	9	5	7	1	3	4
GeneID2675	4	6	3	5	4	6	4	4	3	10	8	7	5	7	9	8	5	5	4	2
GeneID2676	3	5	4	5	3	7	2	4	7	3	6	4	2	4	4	7	5	6	4	7
GeneID2677	2	6	8	6	4	6	7	4	5	3	5	5	5	3	9	5	6	3	7	4
GeneID2678	3	3	6	5	4	5	3	3	5	7	5	4	4	2	3	3	7	2	3	4
GeneID2679	6	3	7	3	4	4	3	5	7	5	6	1	5	6	3	2	6	7	4	1
GeneID2680	5	2	8	4	5	5	4	4	8	8	7	3	6	6	8	5	2	5	1	3
GeneID2681	7	3	4	5	3	8	6	5	4	1	1	7	7	10	3	2	1	6	7	5
GeneID2682	4	6	1	10	8	4	4	6	6	3	5	3	3	8	8	4	1	6	8	3
GeneID2683	7	5	6	5	5	6	1	7	6	9	5	5	1	10	11	7	4	2	5	5
GeneID2684	2	4	8	7	3	7	4	11	10	5	2	11	5	7	5	6	6	2	7	7
GeneID2685	7	6	8	5	3	6	0	4	3	6	3	3	3	6	5	4	2	5	7	4
GeneID2686	7	5	8	5	3	5	4	7	5	5	1	5	3	5	6	3	4	4	5	4
GeneID2687	5	3	5	4	8	5	6	2	4	7	7	6	5	2	8	2	5	7	7	4
GeneID2688	5	3	6	5	5	2	8	6	4	5	3	5	8	3	7	4	3	6	4	3
GeneID2689	8	7	2	4	4	1	9	4	7	3	4	4	6	5	2	6	8	5	4	2
GeneID2690	3	7	7	3	7	8	4	8	3	7	3	3	4	5	3	2	3	5	6	3
GeneID2691	9	7	2	3	2	1	7	2	6	6	3	7	2	5	10	1	5	5	3	7
GeneID2692	4	5	5	2	4	6	6	10	4	6	6	7	3	4	4	5	6	2	5	6
GeneID2693	4	5	3	3	7	8	5	7	4	7	4	6	4	7	0	10	6	2	2	7
GeneID2694	6	5	8	3	4	7	3	6	7	6	4	4	5	4	3	3	3	5	5	2
GeneID2695	4	3	4	4	9	4	3	6	5	9	5	2	3	8	7	0	3	7	4	3
GeneID2696	5	5	0	3	2	4	5	4	4	5	4	4	4	7	6	4	3	3	5	7
GeneID2697	4	7	14	3	7	1	11	11	3	4	2	2	5	2	3	4	5	6	4	6
GeneID2698	6	7	5	4	2	2	2	2	7	6	8	2	6	5	4	6	2	5	4	10
GeneID2699	1	8	4	6	4	3	7	3	4	7	5	8	5	4	4	4	8	4	7	3
GeneID2700	4	6	6	4	3	6	8	5	5	5	4	5	4	3	3	7	5	4	6	4
GeneID2701	1	6	6	1	0	0	5	2	3	5	4	6	2	6	5	6	9	4	6	4
GeneID2702	2	4	5	6	8	7	3	2	6	4	5	2	7	4	4	0	5	5	2	1
GeneID2703	5	3	5	3	3	5	7	7	8	5	7	1	4	4	7	3	7	6	3	2
GeneID2704	4	7	3	3	5	4	5	7	6	6	4	5	5	7	5	8	1	3	10	3
GeneID2705	6	3	6	2	5	6	3	2	7	7	5	3	5	2	5	0	0	5	7	2
GeneID2706	11	9	6	2	5	0	5	4	5	4	10	3	2	4	6	5	8	5	6	3
GeneID2707	3	4	5	8	3	4	4	2	4	5	3	5	2	8	6	7	5	4	5	1
GeneID2708	4	4	4	4	3	5	3	4	5	6	3	8	5	5	4	10	5	3	4	7
GeneID2709	6	5	5	6	4	7	4	3	1	3	3	7	6	4	7	3	6	4	9	9
GeneID2710	3	3	10	4	7	5	8	4	11	3	3	4	4	5	6	6	6	4	7	6
GeneID2711	9	2	7	5	4	6	5	4	6	5	2	6	7	4	7	8	4	3	3	4
GeneID2712	3	2	5	7	3	4	3	3	4	8	6	4	6	6	3	3	5	3	6	8
GeneID2713	6	7	5	3	7	3	2	4	3	4	4	4	8	6	1	8	5	1	3	3
GeneID2714	3	7	2	7	3	6	8	6	3	2	5	5	8	6	8	1	7	4	3	2
GeneID2715	3	4	3	5	5	10	7	3	1	5	6	6	5	7	7	6	4	6	6	4
GeneID2716	3	8	4	8	2	8	6	4	1	6	4	5	6	6	7	2	6	5	5	6
GeneID2717	8	10	5	3	6	2	5	9	4	10	6	3	2	4	6	7	8	7	6	7
GeneID2718	3	5	4	6	5	8	2	4	7	7	3	4	4	5	6	8	4	5	6	5
GeneID2719	6	5	7	4	14	9	10	3	4	6	3	1	2	7	8	2	7	7	6	3
GeneID2720	3	0	7	2	2	10	4	9	2	2	5	6	7	6	5	4	6	2	7	4
GeneID2721	3	5	10	4	9	9	9	4	8	6	8	4	3	8	7	9	5	4	5	7
GeneID2722	6	7	6	3	5	4	5	3	5	5	6	4	8	7	7	8	3	6	8	6
GeneID2723	4	4	11	4	2	3	3	4	3	4	3	7	3	3	3	3	5	5	7	6
GeneID2724	5	4	6	3	7	7	5	4	7	2	8	5	5	6	2	4	4	5	5	3
GeneID2725	6	3	5	3	9	8	9	6	1	4	4	4	6	8	5	4	3	2	7	4
GeneID2726	5	4	6	6	3	5	6	8	3	4	4	8	3	4	5	6	8	7	8	3
GeneID2727	5	4	5	5	7	7	2	5	7	4	4	6	2	7	5	6	6	6	2	2
GeneID2728	3	5	3	4	3	5	4	7	8	3	5	5	5	3	5	5	6	8	6	8
GeneID2729	9	9	4	9	7	2	4	5	3	2	3	6	8	2	1	8	2	6	5	3
GeneID2730	4	8	3	3	5	8	3	3	5	9	6	3	4	6	5	9	2	6	7	4
GeneID2731	1	8	7	3	5	6	4	7	5	1	1	6	2	3	5	5	5	7	6	1
GeneID2732	4	6	6	3	6	5	4	2	5	1	3	2	3	7	5	8	6	3	7	5
GeneID2733	3	4	7	5	4	1	5	8	5	3	6	4	7	8	7	6	3	3	7	1
GeneID2734	12	5	7	6	3	5	2	6	6	7	8	4	9	2	4	7	2	5	6	6
GeneID2735	7	4	5	5	9	5	7	3	3	5	3	4	2	8	9	7	4	7	4	8
GeneID2736	4	3	6	3	3	4	8	7	5	2	1	5	5	1	6	7	11	5	5	8
GeneID2737	5	2	5	4	11	5	4	4	3	5	5	9	4	1	8	4	2	3	5	4
GeneID2738	4	4	3	4	6	2	6	5	2	5	1	5	9	3	5	5	5	4	7	1
GeneID2739	4	3	5	5	4	7	5	6	3	8	3	9	3	6	6	2	5	3	8	6
GeneID2740	4	5	5	7	5	2	7	5	4	6	7	6	6	5	6	6	4	4	4	3
GeneID2741	10	5	6	1	5	6	4	9	1	8	9	7	3	3	6	10	8	6	5	4
GeneID2742	4	6	2	5	4	4	9	5	9	4	3	7	5	8	5	3	2	7	6	8
GeneID2743	5	5	1	6	6	4	5	5	4	10	6	5	6	2	10	6	4	3	3	2
GeneID2744	2	7	4	3	4	8	12	1	3	3	3	8	2	3	6	5	6	3	2	4
GeneID2745	3	5	5	5	5	6	6	4	8	8	3	3	6	7	2	2	2	4	1	3
GeneID2746	3	9	1	8	8	10	3	7	4	6	6	7	4	7	5	4	4	7	5	5
GeneID2747	1	3	3	9	6	3	6	4	7	7	6	2	6	4	9	5	2	2	8	2
GeneID2748	4	6	3	6	3	2	3	4	8	4	10	7	6	1	7	3	3	7	1	2
GeneID2749	7	3	5	7	3	9	5	5	3	7	6	9	4	6	4	4	8	6	7	3
GeneID2750	5	6	10	3	4	2	6	6	6	4	4	4	4	0	4	7	5	8	2	2
GeneID2751	5	2	3	4	5	6	3	7	8	3	2	6	4	8	3	9	4	3	3	3
GeneID2752	6	3	3	8	3	6	5	9	4	2	9	3	6	5	4	4	8	9	3	4
GeneID2753	8	6	6	2	4	5	4	4	5	5	6	8	5	8	4	7	10	5	5	7
GeneID2754	4	5	10	8	8	6	5	2	3	2	1	2	3	6	3	2	3	5	6	9
GeneID2755	4	9	3	6	5	5	7	7	4	4	2	10	4	6	7	7	2	2	2	2
GeneID2756	5	6	8	6	4	1	3	5	1	2	5	5	4	2	6	2	4	7	4	6
GeneID2757	6	7	8	7	5	3	7	4	3	4	9	2	6	4	5	8	7	7	3	5
GeneID2758	4	4	6	4	6	5	4	3	2	4	8	1	3	4	6	7	8	5	6	9
GeneID2759	5	7	10	2	11	6	2	4	5	4	5	10	4	2	5	7	12	4	7	5
GeneID2760	7	3	5	7	6	5	5	5	2	3	5	3	5	4	6	6	7	5	2	6
GeneID2761	3	8	1	1	11	1	3	7	4	9	8	4	5	1	1	4	8	5	3	6
GeneID2762	9	1	7	3	8	6	8	6	2	6	9	0	5	6	3	5	6	1	5	4
GeneID2763	7	6	1	3	4	3	5	4	4	7	3	7	4	4	7	4	5	5	5	8
GeneID2764	1	6	7	4	10	6	12	6	4	4	8	3	3	4	6	5	5	7	6	5
GeneID2765	4	6	5	5	4	8	4	5	6	4	4	8	5	11	3	6	5	4	6	1
GeneID2766	5	5	8	7	5	2	3	7	5	1	1	7	4	2	7	4	6	8	2	5
GeneID2767	3	9	3	3	5	6	7	5	6	5	3	4	9	8	4	6	2	9	4	4
GeneID2768	3	5	3	2	4	7	8	6	5	5	5	5	5	3	4	8	4	10	4	7
GeneID2769	4	7	5	7	4	6	4	4	2	4	6	2	4	4	7	3	6	6	5	4
GeneID2770	5	7	2	6	4	3	3	7	3	4	6	5	4	2	9	4	5	1	7	3
GeneID2771	8	4	2	6	6	7	1	3	2	3	3	5	3	7	7	2	1	9	6	11
GeneID2772	5	7	4	4	6	3	4	6	3	4	5	5	2	3	6	10	8	4	8	2
GeneID2773	8	5	5	4	3	4	4	3	7	7	1	4	4	3	9	3	4	9	5	5
GeneID2774	3	6	4	1	3	2	8	5	4	8	4	2	3	2	4	2	5	5	4	3
GeneID2775	4	9	8	4	7	3	5	4	10	2	6	4	5	7	5	6	4	3	7	2
GeneID2776	8	5	6	6	5	3	6	5	5	6	2	4	3	7	7	5	3	3	4	7
GeneID2777	6	3	4	3	3	4	6	4	7	2	8	4	6	5	7	4	3	4	7	3
GeneID2778	3	4	3	4	5	7	8	1	6	7	4	4	4	4	4	6	5	8	3	4
GeneID2779	6	7	0	8	9	4	4	7	2	4	2	5	4	5	9	4	3	8	9	8
GeneID2780	8	4	3	5	3	3	0	3	4	7	4	8	6	6	4	11	4	5	9	4
GeneID2781	1	6	3	8	7	10	6	3	4	4	6	2	7	5	3	4	8	6	5	4
GeneID2782	7	6	9	3	4	6	3	7	7	6	0	6	3	2	9	2	6	6	5	9
GeneID2783	4	6	3	4	5	2	4	11	4	4	6	7	6	6	5	4	3	7	6	2
GeneID2784	6	2	4	4	2	5	5	3	3	1	2	5	1	5	5	3	10	2	4	5
GeneID2785	4	4	0	4	12	5	5	6	6	5	2	9	7	9	5	4	0	5	3	10
GeneID2786	2	3	6	5	5	4	7	2	3	6	5	10	3	5	3	5	4	5	9	8
GeneID2787	4	4	8	7	5	3	6	3	3	2	10	5	2	5	5	5	5	8	3	5
GeneID2788	6	5	5	5	3	3	4	4	9	5	13	2	6	1	3	5	7	5	7	4
GeneID2789	5	4	4	10	4	9	5	3	0	10	6	3	3	6	5	6	5	5	4	6
GeneID2790	4	4	9	7	3	3	5	3	5	6	2	2	7	6	3	4	4	6	6	3
GeneID2791	5	5	9	5	6	6	4	5	6	5	9	4	2	5	2	6	1	11	2	6
GeneID2792	7	4	2	2	4	7	10	4	7	12	6	6	5	7	3	3	6	4	1	3
GeneID2793	1	5	5	5	5	3	4	1	3	7	4	5	7	3	4	5	6	6	4	2
GeneID2794	6	5	4	8	5	4	8	4	3	7	6	2	5	2	5	4	6	3	5	4
GeneID2795	6	4	8	2	7	10	4	6	3	4	3	3	6	12	6	6	4	1	7	5
GeneID2796	6	7	7	4	5	2	5	8	5	7	6	5	5	4	7	7	6	6	2	11
GeneID2797	4	8	4	4	5	4	4	2	4	4	8	5	1	4	4	5	3	9	3	4
GeneID2798	4	9	6	2	5	8	7	9	0	6	7	2	5	4	4	10	7	1	5	8
GeneID2799	9	2	6	3	5	2	4	6	5	14	4	6	6	7	5	8	4	5	7	8
GeneID2800	3	3	4	5	6	6	5	2	5	5	9	7	8	4	6	8	3	5	10	7
GeneID2801	3	4	3	1	6	3	4	9	0	4	3	5	4	7	10	4	4	9	6	4
GeneID2802	4	3	2	5	6	5	6	7	5	6	3	4	6	4	5	5	3	0	3	3
GeneID2803	7	5	3	10	3	4	3	5	4	5	7	5	3	3	3	1	5	4	6	2
GeneID2804	6	1	9	5	1	7	5	4	5	2	3	4	3	9	4	0	4	4	7	6
GeneID2805	6	6	9	3	6	6	7	5	6	6	6	4	2	4	4	9	3	8	5	3
GeneID2806	7	8	5	4	1	8	1	4	8	2	3	7	7	4	10	6	4	1	6	5
GeneID2807	5	7	4	5	4	5	11	8	7	5	8	8	2	6	7	3	4	5	8	8
GeneID2808	4	4	11	4	1	5	5	9	7	9	2	5	3	5	6	3	3	2	3	7
GeneID2809	7	4	4	8	7	4	3	2	6	5	7	6	5	7	5	6	6	1	2	2
GeneID2810	5	4	3	7	5	7	4	7	7	9	4	3	7	7	4	6	7	3	3	2
GeneID2811	7	5	4	5	6	5	7	2	5	3	5	3	4	5	5	4	7	2	7	2
GeneID2812	7	3	3	3	3	5	14	4	7	4	8	4	4	4	3	6	7	8	6	4
GeneID2813	5	8	6	4	7	4	5	5	7	4	7	4	3	7	4	6	5	5	4	5
GeneID2814	4	3	9	3	0	1	4	1	3	2	5	1	4	6	8	3	5	6	6	12
GeneID2815	4	6	6	4	3	5	7	7	2	7	6	8	6	6	0	4	2	4	5	5
GeneID2816	4	6	5	9	4	5	2	4	6	4	6	5	6	6	1	7	5	2	5	4
GeneID2817	12	4	3	7	7	7	3	6	6	3	5	5	4	9	4	6	10	2	5	2
GeneID2818	9	4	4	6	12	6	5	5	4	5	9	4	5	6	5	5	2	4	5	4
GeneID2819	6	3	3	2	6	2	3	5	6	6	9	6	6	1	3	12	3	4	5	7
GeneID2820	4	8	7	2	2	8	6	2	4	1	10	2	7	8	6	3	4	7	7	4
GeneID2821	9	7	7	6	3	6	1	6	4	9	4	6	7	7	8	1	10	2	6	5
GeneID2822	9	5	5	5	8	1	9	8	5	10	4	3	3	3	4	6	11	1	9	1
GeneID2823	2	2	4	3	3	7	4	4	3	7	3	12	5	5	4	6	4	5	6	5
GeneID2824	1	3	3	5	4	4	3	7	2	5	6	9	3	5	6	4	4	3	5	4
GeneID2825	8	8	6	9	5	4	8	6	6	5	6	6	8	4	4	3	10	3	6	7
GeneID2826	2	1	4	2	7	5	6	2	2	3	7	3	7	4	7	3	8	2	8	4
GeneID2827	3	4	2	4	1	8	8	6	7	3	10	8	6	5	3	3	7	6	1	5
GeneID2828	5	8	6	4	4	3	5	7	9	8	2	7	10	3	7	4	1	4	9	4
GeneID2829	7	4	5	6	2	3	6	5	1	4	9	2	8	4	3	9	4	2	7	1
GeneID2830	3	7	4	7	4	4	3	6	1	3	1	4	6	4	7	4	5	5	10	1
GeneID2831	10	14	3	3	1	7	4	10	5	0	5	3	6	2	2	8	5	5	6	4
GeneID2832	6	2	8	3	2	5	9	4	2	3	4	5	7	2	4	2	2	3	6	3
GeneID2833	7	6	4	2	5	8	7	7	8	5	5	10	7	4	9	3	6	4	3	1
GeneID2834	3	13	1	6	1	5	3	4	4	5	4	8	3	8	4	4	4	6	7	3
GeneID2835	4	7	4	5	7	2	5	4	6	4	3	5	2	3	6	4	5	3	5	7
GeneID2836	2	4	3	9	6	3	5	4	6	3	7	4	5	8	2	7	4	5	7	4
GeneID2837	2	5	2	6	4	6	2	4	7	6	3	5	4	3	4	6	7	4	6	5
GeneID2838	3	3	5	3	3	7	7	5	7	8	5	6	4	6	6	4	2	6	2	8
GeneID2839	6	4	5	5	6	5	9	7	4	3	4	5	4	3	4	4	6	2	4	5
GeneID2840	3	4	4	2	0	5	6	3	4	3	1	3	7	4	3	2	6	6	5	11
GeneID2841	8	4	7	6	5	1	6	8	4	5	1	9	4	6	2	5	2	6	9	5
GeneID2842	3	5	4	6	3	4	4	8	4	6	6	4	4	4	4	3	4	4	2	2
GeneID2843	7	6	3	6	5	1	7	8	7	3	6	5	5	4	5	2	4	3	5	6
GeneID2844	6	3	7	7	5	3	5	8	6	4	7	7	6	7	2	6	4	2	8	5
GeneID2845	8	7	4	4	5	4	6	5	1	4	3	5	9	6	3	5	10	3	4	2
GeneID2846	10	5	1	1	6	10	3	4	3	5	2	5	10	8	4	6	1	2	5	8
GeneID2847	6	7	9	4	4	3	8	3	3	4	4	2	4	5	6	2	5	4	3	9
GeneID2848	10	3	6	5	12	1	8	4	5	1	6	3	4	7	6	4	4	6	6	5
GeneID2849	7	9	2	9	2	3	4	5	0	4	6	1	3	4	9	5	5	3	4	11
GeneID2850	7	6	7	11	6	2	4	4	9	6	6	7	1	4	5	9	5	3	9	8
GeneID2851	4	6	6	6	9	3	9	2	4	7	1	5	5	8	4	8	2	4	4	9
GeneID2852	2	4	4	4	2	3	4	5	6	4	6	7	4	1	6	6	2	4	4	8
GeneID2853	3	7	3	8	8	4	5	3	3	6	3	3	3	4	4	6	4	5	8	7
GeneID2854	4	5	4	6	2	6	3	7	5	3	5	7	4	2	6	8	10	3	5	1
GeneID2855	2	5	4	4	10	9	4	4	4	5	5	9	4	1	5	5	4	7	6	4
GeneID2856	6	4	8	6	3	2	3	5	11	4	5	7	4	2	9	4	8	6	5	9
GeneID2857	8	6	8	1	3	1	4	6	2	7	2	2	5	8	1	9	4	3	5	3
GeneID2858	3	3	7	4	4	4	5	2	5	5	3	4	3	9	8	5	5	6	7	3
GeneID2859	5	3	2	5	7	3	1	6	5	2	6	4	3	4	9	7	5	1	8	5
GeneID2860	5	2	4	6	6	4	3	8	6	7	5	6	6	3	4	8	6	8	5	7
GeneID2861	5	5	4	4	6	6	1	2	7	6	5	6	5	7	2	3	4	4	3	5
GeneID2862	7	3	4	9	6	4	1	4	8	6	4	8	4	2	2	3	8	8	4	2
GeneID2863	5	4	2	8	8	1	5	9	9	2	6	6	5	5	8	7	10	5	4	6
GeneID2864	5	4	12	5	4	5	9	6	7	8	7	9	5	7	9	4	2	5	5	3
GeneID2865	5	6	7	6	6	8	5	7	6	8	2	1	3	6	0	6	5	4	5	5
GeneID2866	3	4	6	5	3	3	4	0	3	2	3	4	7	4	3	11	5	4	5	5
GeneID2867	3	7	8	5	4	7	4	2	2	8	5	3	4	4	7	3	9	8	6	4
GeneID2868	1	6	5	4	3	5	5	5	4	6	2	1	4	2	2	9	4	6	5	3
GeneID2869	2	5	3	3	6	7	5	5	7	5	3	2	8	6	5	11	5	5	6	6
GeneID2870	3	3	6	4	5	7	4	10	3	7	6	2	7	3	1	10	3	4	4	3
GeneID2871	7	4	4	5	5	8	5	8	5	12	5	3	4	7	5	4	3	4	6	3
GeneID2872	5	5	3	4	4	6	5	8	8	5	6	4	6	4	4	4	8	8	4	8
GeneID2873	6	6	3	5	7	4	4	7	3	6	5	2	7	4	5	11	3	6	2	3
GeneID2874	4	5	5	5	4	5	4	4	6	7	6	5	7	4	5	5	4	6	5	8
GeneID2875	2	5	9	4	6	7	3	10	5	9	3	7	5	2	7	8	2	3	6	3
GeneID2876	3	4	5	4	3	5	5	5	3	6	4	6	4	7	7	6	2	4	7	7
GeneID2877	7	2	5	6	4	2	7	2	6	9	6	6	7	6	4	2	6	9	5	7
GeneID2878	6	11	4	8	6	5	5	4	8	6	3	5	0	2	14	5	6	8	5	12
GeneID2879	4	4	2	5	8	5	7	4	5	6	6	6	4	3	8	7	4	3	3	4
GeneID2880	3	5	9	4	3	4	8	3	2	4	5	2	9	4	3	5	7	4	5	12
GeneID2881	8	5	2	6	4	6	6	5	4	4	4	9	6	5	9	2	6	4	8	4
GeneID2882	6	5	3	5	5	4	4	7	8	7	5	8	10	7	2	5	8	3	4	2
GeneID2883	5	6	5	4	5	7	4	5	3	5	7	10	7	1	5	2	4	3	3	8
GeneID2884	8	6	5	2	3	2	2	9	4	0	5	3	6	6	5	6	10	8	6	4
GeneID2885	5	3	5	7	4	8	9	6	5	3	6	6	6	6	3	6	6	9	9	4
GeneID2886	5	2	9	4	9	3	2	5	4	5	2	4	5	4	5	6	3	4	6	3
GeneID2887	10	4	5	3	5	8	4	7	6	5	4	2	4	7	7	6	2	4	6	7
GeneID2888	4	2	4	3	3	8	4	5	6	6	2	4	7	8	5	6	9	7	7	7
GeneID2889	3	3	3	2	3	2	4	2	5	6	3	4	7	9	6	5	3	8	6	5
GeneID2890	5	6	6	6	3	7	5	6	5	5	2	6	3	6	3	3	3	7	4	0
GeneID2891	4	11	6	6	3	6	5	4	3	5	6	5	2	4	11	3	6	5	3	5
GeneID2892	7	5	4	0	3	3	6	6	4	6	6	7	3	3	4	4	8	6	7	3
GeneID2893	3	3	5	8	6	6	6	4	2	8	4	2	7	4	7	6	8	5	6	6
GeneID2894	7	5	3	4	8	0	4	2	3	3	5	7	7	5	4	11	3	4	1	8
GeneID2895	5	3	5	6	5	6	5	2	4	6	6	2	5	9	7	4	9	5	6	3
GeneID2896	4	3	3	5	4	2	4	5	6	6	4	7	10	4	4	8	4	7	5	7
GeneID2897	7	4	4	7	1	8	3	4	2	5	6	4	6	7	3	3	1	4	7	6
GeneID2898	6	3	11	8	11	4	4	10	6	10	4	9	6	6	7	4	4	4	3	5
GeneID2899	6	7	5	3	5	2	4	2	3	5	12	5	4	8	4	6	2	2	7	7
GeneID2900	5	5	4	3	8	4	5	7	4	4	6	4	5	3	5	5	1	6	9	6
GeneID2901	3	5	6	6	8	6	6	5	7	3	4	5	7	2	4	3	4	3	2	4
GeneID2902	2	6	4	2	12	7	6	2	7	7	6	5	4	3	2	5	7	4	9	6
GeneID2903	3	0	4	4	8	4	3	3	6	2	6	3	10	4	4	5	4	4	9	8
GeneID2904	7	3	2	5	6	1	4	3	4	4	7	3	8	3	6	8	9	8	6	1
GeneID2905	4	2	2	2	1	2	5	3	4	6	7	7	4	4	6	3	4	7	5	5
GeneID2906	5	3	4	5	6	2	10	6	8	3	9	8	4	6	5	6	6	6	6	3
GeneID2907	4	9	5	4	5	2	2	3	7	4	2	6	5	5	10	9	4	9	5	8
GeneID2908	2	5	5	6	3	10	2	3	2	5	3	3	4	6	6	7	7	3	3	6
GeneID2909	2	8	4	7	4	4	4	2	4	2	6	3	4	5	2	3	4	2	4	10
GeneID2910	0	3	4	3	6	3	5	8	8	8	3	4	6	1	4	6	6	3	5	8
GeneID2911	4	5	3	5	4	8	2	7	7	3	3	6	9	5	4	7	7	5	5	4
GeneID2912	5	5	11	6	9	6	9	8	3	4	3	3	6	4	5	7	6	5	7	2
GeneID2913	8	5	6	2	7	1	2	5	3	5	4	4	7	2	6	8	5	1	3	6
GeneID2914	5	4	4	4	7	7	6	5	3	2	5	6	5	1	6	3	5	4	4	3
GeneID2915	2	4	8	3	4	8	3	9	6	2	2	6	4	4	2	5	4	5	5	5
GeneID2916	7	5	2	2	8	6	7	10	4	5	4	5	3	3	2	5	5	3	7	2
GeneID2917	3	3	11	5	12	6	5	2	5	4	9	3	4	6	5	6	4	2	5	5
GeneID2918	5	6	5	8	5	3	4	6	8	7	4	4	4	6	6	3	4	7	5	7
GeneID2919	9	4	3	9	4	4	5	4	3	6	8	7	2	8	6	7	4	4	6	5
GeneID2920	6	2	1	2	4	7	5	0	2	5	2	3	5	5	10	3	6	5	7	6
GeneID2921	3	5	4	6	2	8	5	8	7	5	8	6	6	6	2	6	4	4	3	4
GeneID2922	7	6	12	7	6	6	8	3	3	7	6	3	6	6	5	8	1	3	6	7
GeneID2923	4	4	2	7	2	4	7	1	6	4	6	4	2	2	3	2	4	5	3	5
GeneID2924	1	3	4	7	5	3	4	6	0	2	3	4	5	6	1	2	4	9	6	6
GeneID2925	7	5	8	3	4	7	1	4	5	3	3	3	4	2	6	9	4	4	6	4
GeneID2926	7	4	2	6	6	5	4	7	1	3	4	3	1	5	6	4	4	3	6	5
GeneID2927	4	4	6	5	5	4	1	3	1	6	0	4	5	6	5	5	2	5	6	8
GeneID2928	4	5	7	2	8	3	8	6	5	3	6	9	6	6	9	6	2	6	5	11
GeneID2929	5	5	6	9	7	5	7	4	3	1	10	2	5	5	3	3	8	4	5	6
GeneID2930	2	7	5	2	4	3	3	5	6	4	6	6	4	4	7	4	1	8	7	4
GeneID2931	5	2	5	5	5	8	6	3	2	2	5	2	8	4	6	5	7	8	4	1
GeneID2932	2	7	4	6	5	5	3	5	7	2	0	4	4	4	2	5	1	2	6	9
GeneID2933	0	5	3	3	3	5	1	5	10	2	4	7	2	2	6	3	5	5	5	3
GeneID2934	4	6	9	3	4	3	6	5	6	8	4	6	2	4	10	2	5	6	6	9
GeneID2935	7	9	11	7	6	8	6	7	8	9	7	3	5	2	6	3	4	9	6	3
GeneID2936	4	8	4	8	7	10	3	8	4	4	5	6	11	3	8	4	7	7	8	4
GeneID2937	5	3	6	7	2	7	5	1	6	3	5	3	4	7	5	2	4	9	5	7
GeneID2938	5	2	5	3	6	6	4	4	12	7	4	1	7	4	3	2	5	4	8	5
GeneID2939	3	5	8	5	3	9	8	5	0	5	5	5	7	4	3	7	4	7	6	9
GeneID2940	2	6	6	4	5	4	6	4	1	5	3	6	4	3	3	2	4	4	6	3
GeneID2941	1	4	4	8	5	1	6	4	4	3	4	5	5	10	6	3	2	4	7	6
GeneID2942	6	8	5	5	2	4	5	6	3	4	3	6	5	9	9	2	2	3	6	5
GeneID2943	8	7	4	13	3	5	4	5	2	4	3	2	9	7	4	6	8	8	3	2
GeneID2944	8	4	2	6	4	4	4	4	2	4	4	1	5	6	9	8	4	7	7	8
GeneID2945	2	6	3	4	7	3	3	5	8	6	5	7	9	4	9	4	3	6	5	5
GeneID2946	4	5	6	6	6	4	4	3	5	2	2	5	5	2	3	2	3	7	3	2
GeneID2947	6	1	2	4	5	3	5	5	5	4	8	5	4	7	6	4	2	2	3	6
GeneID2948	10	6	4	7	5	0	6	5	12	9	10	8	6	9	4	7	1	3	2	3
GeneID2949	7	3	6	4	10	8	11	5	4	8	3	4	5	3	2	4	5	10	3	2
GeneID2950	6	2	5	2	1	2	4	5	4	3	4	11	4	4	4	5	4	6	4	3
GeneID2951	4	6	6	7	7	5	3	3	9	4	8	1	7	6	7	5	4	3	3	3
GeneID2952	5	5	8	4	4	1	7	4	2	4	6	9	8	4	7	6	5	8	2	3
GeneID2953	3	1	4	4	8	4	4	4	1	9	6	9	3	7	7	4	7	8	3	5
GeneID2954	5	9	4	7	4	3	1	3	4	2	5	3	12	4	2	7	7	1	4	5
GeneID2955	8	2	6	5	8	2	10	7	3	7	5	4	9	3	7	7	4	5	8	5
GeneID2956	5	7	1	0	6	2	4	8	8	6	5	6	9	5	2	5	6	3	5	10
GeneID2957	1	9	4	3	7	2	4	4	4	5	6	3	1	2	2	6	2	6	2	7
GeneID2958	8	11	5	4	4	3	5	6	3	7	5	3	5	6	3	7	6	4	3	9
GeneID2959	4	7	8	5	4	7	7	4	7	6	2	6	4	2	8	5	5	4	5	5
